# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y01 //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y01
DrawOnly=/STAR_2008_S7869363/d02-x01-y01 //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y01
Title=$\pi^-\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y01
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.020000e+00	6.000000e-02	6.000000e-02
2.500000e-01	3.000000e-01	1.520000e+00	3.000000e-02	3.000000e-02
3.000000e-01	3.500000e-01	1.130000e+00	2.000000e-02	2.000000e-02
3.500000e-01	4.000000e-01	8.440000e-01	9.000000e-03	9.000000e-03
4.000000e-01	4.500000e-01	6.350000e-01	7.000000e-03	7.000000e-03
4.500000e-01	5.000000e-01	4.690000e-01	5.000000e-03	5.000000e-03
5.000000e-01	5.500000e-01	3.540000e-01	4.000000e-03	4.000000e-03
5.500000e-01	6.000000e-01	2.670000e-01	3.000000e-03	3.000000e-03
6.000000e-01	6.500000e-01	2.020000e-01	4.000000e-03	4.000000e-03
6.500000e-01	7.000000e-01	1.530000e-01	3.000000e-03	3.000000e-03
7.000000e-01	7.500000e-01	1.160000e-01	3.000000e-03	3.000000e-03
7.500000e-01	8.000000e-01	8.650000e-02	3.000000e-03	3.000000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y01
ScaledBy=1.40538639125365311e-09
Title=PY_STAR
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.630299e+00	3.810876e-04	3.810876e-04
2.500000e-01	3.000000e-01	1.217369e+00	2.972686e-04	2.972686e-04
3.000000e-01	3.500000e-01	1.063793e+00	2.558893e-04	2.558893e-04
3.500000e-01	4.000000e-01	8.614772e-01	2.149846e-04	2.149846e-04
4.000000e-01	4.500000e-01	6.520320e-01	1.751518e-04	1.751518e-04
4.500000e-01	5.000000e-01	5.179518e-01	1.480688e-04	1.480688e-04
5.000000e-01	5.500000e-01	3.979416e-01	1.229681e-04	1.229681e-04
5.500000e-01	6.000000e-01	3.000406e-01	1.019461e-04	1.019461e-04
6.000000e-01	6.500000e-01	2.611246e-01	9.168431e-05	9.168431e-05
6.500000e-01	7.000000e-01	1.919204e-01	7.532219e-05	7.532219e-05
7.000000e-01	7.500000e-01	1.530424e-01	6.503584e-05	6.503584e-05
7.500000e-01	8.000000e-01	1.089701e-01	5.321903e-05	5.321903e-05
# END HISTO1D

