# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y02 //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y02
DrawOnly=/STAR_2008_S7869363/d02-x01-y02 //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y02
Title=$\pi^+\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y02
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.070000e+00	6.000000e-02	6.000000e-02
2.500000e-01	3.000000e-01	1.540000e+00	3.000000e-02	3.000000e-02
3.000000e-01	3.500000e-01	1.140000e+00	2.000000e-02	2.000000e-02
3.500000e-01	4.000000e-01	8.570000e-01	9.000000e-03	9.000000e-03
4.000000e-01	4.500000e-01	6.380000e-01	7.000000e-03	7.000000e-03
4.500000e-01	5.000000e-01	4.760000e-01	5.000000e-03	5.000000e-03
5.000000e-01	5.500000e-01	3.590000e-01	4.000000e-03	4.000000e-03
5.500000e-01	6.000000e-01	2.730000e-01	3.000000e-03	3.000000e-03
6.000000e-01	6.500000e-01	2.070000e-01	4.000000e-03	4.000000e-03
6.500000e-01	7.000000e-01	1.550000e-01	3.000000e-03	3.000000e-03
7.000000e-01	7.500000e-01	1.160000e-01	3.000000e-03	3.000000e-03
7.500000e-01	8.000000e-01	8.950000e-02	3.100000e-03	3.100000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y02
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y02
ScaledBy=1.39943890284556514e-09
Title=PY_STAR
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.603079e+00	3.775151e-04	3.775151e-04
2.500000e-01	3.000000e-01	1.351259e+00	3.123720e-04	3.123720e-04
3.000000e-01	3.500000e-01	1.039341e+00	2.521642e-04	2.521642e-04
3.500000e-01	4.000000e-01	8.661614e-01	2.146323e-04	2.146323e-04
4.000000e-01	4.500000e-01	6.346024e-01	1.721280e-04	1.721280e-04
4.500000e-01	5.000000e-01	5.575370e-01	1.531634e-04	1.531634e-04
5.000000e-01	5.500000e-01	3.949894e-01	1.225549e-04	1.225549e-04
5.500000e-01	6.000000e-01	3.450874e-01	1.094834e-04	1.094834e-04
6.000000e-01	6.500000e-01	2.556834e-01	9.051661e-05	9.051661e-05
6.500000e-01	7.000000e-01	1.834788e-01	7.358802e-05	7.358802e-05
7.000000e-01	7.500000e-01	1.364081e-01	6.125115e-05	6.125115e-05
7.500000e-01	8.000000e-01	1.037381e-01	5.181953e-05	5.181953e-05
# END HISTO1D

