# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y03 //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y03
DrawOnly=/STAR_2008_S7869363/d02-x01-y03 //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y03
Title=$K^-\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y03
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.430000e-01	1.100000e-02	1.100000e-02
2.500000e-01	3.000000e-01	1.260000e-01	5.000000e-03	5.000000e-03
3.000000e-01	3.500000e-01	1.080000e-01	2.000000e-03	2.000000e-03
3.500000e-01	4.000000e-01	8.770000e-02	2.400000e-03	2.400000e-03
4.000000e-01	4.500000e-01	7.340000e-02	2.600000e-03	2.600000e-03
4.500000e-01	5.000000e-01	6.170000e-02	6.300000e-03	6.300000e-03
5.000000e-01	5.500000e-01	4.870000e-02	5.000000e-03	5.000000e-03
5.500000e-01	6.000000e-01	4.110000e-02	4.200000e-03	4.200000e-03
6.000000e-01	6.500000e-01	3.700000e-02	2.800000e-03	2.800000e-03
6.500000e-01	7.000000e-01	2.860000e-02	2.200000e-03	2.200000e-03
7.000000e-01	7.500000e-01	2.420000e-02	2.700000e-03	2.700000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y03
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Ups/PYTHIA/STAR_MB/PY_STAR.yoda/STAR_2008_S7869363/d02-x01-y03
ScaledBy=1.09077223923924964e-09
Title=PY_STAR
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.286209e-01	9.361393e-05	9.361393e-05
2.500000e-01	3.000000e-01	1.033248e-01	7.655257e-05	7.655257e-05
3.000000e-01	3.500000e-01	9.896026e-02	6.858889e-05	6.858889e-05
3.500000e-01	4.000000e-01	7.953818e-02	5.744872e-05	5.744872e-05
4.000000e-01	4.500000e-01	5.575170e-02	4.481308e-05	4.481308e-05
4.500000e-01	5.000000e-01	6.106928e-02	4.461021e-05	4.461021e-05
5.000000e-01	5.500000e-01	5.359882e-02	3.982840e-05	3.982840e-05
5.500000e-01	6.000000e-01	4.108610e-02	3.337364e-05	3.337364e-05
6.000000e-01	6.500000e-01	3.220572e-02	2.827115e-05	2.827115e-05
6.500000e-01	7.000000e-01	1.608827e-02	1.905295e-05	1.905295e-05
7.000000e-01	7.500000e-01	2.532908e-02	2.339990e-05	2.339990e-05
# END HISTO1D

