# BEGIN PLOT
LegendOnly=/CMS_2011_S8884919/d03-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias_all_phase/PY_rivet_MinBias_all_phase.yoda/CMS_2011_S8884919/d03-x01-y01
DrawOnly=/CMS_2011_S8884919/d03-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias_all_phase/PY_rivet_MinBias_all_phase.yoda/CMS_2011_S8884919/d03-x01-y01
Title=Charged hadron multiplicity, $|\eta| < 1.0$, $\sqrt{s} = 0.9\,\text{TeV}$
RatioPlot=1
LogY=1
FullRange=1
RatioPlotReference=/CMS_2011_S8884919/d03-x01-y01
LegendXPos=0.7
XLabel=n
YLabel=$P_{n}$
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2011_S8884919/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2011_S8884919/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.076000e-01	1.580285e-02	2.725949e-02
5.000000e-01	1.500000e+00	6.550000e-02	9.464143e-03	1.115437e-02
1.500000e+00	2.500000e+00	7.574000e-02	8.214195e-03	9.740395e-03
2.500000e+00	3.500000e+00	8.168000e-02	6.764266e-03	8.248079e-03
3.500000e+00	4.500000e+00	8.130000e-02	5.891664e-03	7.285582e-03
4.500000e+00	5.500000e+00	7.622000e-02	5.200240e-03	6.454340e-03
5.500000e+00	6.500000e+00	6.843000e-02	4.441734e-03	5.595159e-03
6.500000e+00	7.500000e+00	6.034000e-02	3.671512e-03	4.804040e-03
7.500000e+00	8.500000e+00	5.259000e-02	2.914944e-03	4.055046e-03
8.500000e+00	9.500000e+00	4.580000e-02	2.415057e-03	3.454417e-03
9.500000e+00	1.050000e+01	3.987000e-02	2.055432e-03	2.964456e-03
1.050000e+01	1.150000e+01	3.472000e-02	1.767060e-03	2.545584e-03
1.150000e+01	1.250000e+01	3.035000e-02	1.550032e-03	2.198045e-03
1.250000e+01	1.350000e+01	2.661000e-02	1.380036e-03	1.908743e-03
1.350000e+01	1.450000e+01	2.328000e-02	1.268464e-03	1.669042e-03
1.450000e+01	1.550000e+01	2.018000e-02	1.176308e-03	1.468911e-03
1.550000e+01	1.650000e+01	1.728000e-02	1.084159e-03	1.317953e-03
1.650000e+01	1.750000e+01	1.470000e-02	9.823441e-04	1.186634e-03
1.750000e+01	1.850000e+01	1.250000e-02	8.805680e-04	1.065129e-03
1.850000e+01	1.950000e+01	1.067000e-02	7.692204e-04	9.339165e-04
1.950000e+01	2.050000e+01	9.160000e-03	6.705222e-04	8.052329e-04
2.050000e+01	2.150000e+01	7.860000e-03	5.913544e-04	6.868042e-04
2.150000e+01	2.250000e+01	6.710000e-03	5.375872e-04	5.948109e-04
2.250000e+01	2.350000e+01	5.700000e-03	5.154610e-04	5.440588e-04
2.350000e+01	2.450000e+01	4.780000e-03	5.124451e-04	5.220153e-04
2.450000e+01	2.550000e+01	3.940000e-03	4.904080e-04	5.192302e-04
2.550000e+01	2.650000e+01	3.190000e-03	4.492215e-04	4.972927e-04
2.650000e+01	2.750000e+01	2.510000e-03	3.700000e-04	4.368066e-04
2.750000e+01	2.850000e+01	1.960000e-03	3.008322e-04	3.573514e-04
2.850000e+01	2.950000e+01	1.560000e-03	2.416609e-04	2.879236e-04
2.950000e+01	3.050000e+01	1.301000e-03	2.110853e-04	2.420021e-04
3.050000e+01	3.150000e+01	1.121000e-03	1.825294e-04	2.031059e-04
3.150000e+01	3.250000e+01	9.840000e-04	1.662077e-04	1.670748e-04
3.250000e+01	3.350000e+01	8.250000e-04	1.466322e-04	1.364588e-04
3.350000e+01	3.450000e+01	6.390000e-04	1.222988e-04	1.197080e-04
3.450000e+01	3.750000e+01	3.780000e-04	7.826238e-05	9.470480e-05
3.750000e+01	4.250000e+01	1.960000e-04	4.742362e-05	5.758472e-05
4.250000e+01	4.750000e+01	6.000000e-05	2.109502e-05	2.195450e-05
4.750000e+01	5.250000e+01	1.250000e-05	6.161980e-06	7.481310e-06
5.250000e+01	5.750000e+01	1.600000e-06	1.360147e-06	1.702939e-06
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Ups/PYTHIA/rivet_MinBias_all_phase/PY_rivet_MinBias_all_phase.yoda/CMS_2011_S8884919/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Ups/PYTHIA/rivet_MinBias_all_phase/PY_rivet_MinBias_all_phase.yoda/CMS_2011_S8884919/d03-x01-y01
ScaledBy=8.97199571157984523e-10
Title=PY_rivet_MinBias_all_phase
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	3.071733e-02	5.249721e-06	5.249721e-06
5.000000e-01	1.500000e+00	1.538994e-02	3.715892e-06	3.715892e-06
1.500000e+00	2.500000e+00	2.233681e-02	4.476671e-06	4.476671e-06
2.500000e+00	3.500000e+00	3.054003e-02	5.234549e-06	5.234549e-06
3.500000e+00	4.500000e+00	3.475050e-02	5.583738e-06	5.583738e-06
4.500000e+00	5.500000e+00	3.604818e-02	5.687039e-06	5.687039e-06
5.500000e+00	6.500000e+00	3.427722e-02	5.545584e-06	5.545584e-06
6.500000e+00	7.500000e+00	3.211913e-02	5.368172e-06	5.368172e-06
7.500000e+00	8.500000e+00	2.967493e-02	5.159877e-06	5.159877e-06
8.500000e+00	9.500000e+00	2.827740e-02	5.036912e-06	5.036912e-06
9.500000e+00	1.050000e+01	2.700895e-02	4.922644e-06	4.922644e-06
1.050000e+01	1.150000e+01	2.611712e-02	4.840689e-06	4.840689e-06
1.150000e+01	1.250000e+01	2.554183e-02	4.787078e-06	4.787078e-06
1.250000e+01	1.350000e+01	2.562865e-02	4.795208e-06	4.795208e-06
1.350000e+01	1.450000e+01	2.489278e-02	4.725864e-06	4.725864e-06
1.450000e+01	1.550000e+01	2.394040e-02	4.634579e-06	4.634579e-06
1.550000e+01	1.650000e+01	2.388484e-02	4.629196e-06	4.629196e-06
1.650000e+01	1.750000e+01	2.332873e-02	4.574990e-06	4.574990e-06
1.750000e+01	1.850000e+01	2.341662e-02	4.583599e-06	4.583599e-06
1.850000e+01	1.950000e+01	2.317792e-02	4.560178e-06	4.560178e-06
1.950000e+01	2.050000e+01	2.233582e-02	4.476571e-06	4.476571e-06
2.050000e+01	2.150000e+01	2.266815e-02	4.509752e-06	4.509752e-06
2.150000e+01	2.250000e+01	2.217878e-02	4.460806e-06	4.460806e-06
2.250000e+01	2.350000e+01	2.240117e-02	4.483115e-06	4.483115e-06
2.350000e+01	2.450000e+01	2.162091e-02	4.404348e-06	4.404348e-06
2.450000e+01	2.550000e+01	2.204440e-02	4.447271e-06	4.447271e-06
2.550000e+01	2.650000e+01	2.057810e-02	4.296821e-06	4.296821e-06
2.650000e+01	2.750000e+01	1.935854e-02	4.167551e-06	4.167551e-06
2.750000e+01	2.850000e+01	1.993990e-02	4.229665e-06	4.229665e-06
2.850000e+01	2.950000e+01	1.940439e-02	4.172482e-06	4.172482e-06
2.950000e+01	3.050000e+01	1.802823e-02	4.021806e-06	4.021806e-06
3.050000e+01	3.150000e+01	1.799799e-02	4.018431e-06	4.018431e-06
3.150000e+01	3.250000e+01	1.669801e-02	3.870588e-06	3.870588e-06
3.250000e+01	3.350000e+01	1.622533e-02	3.815411e-06	3.815411e-06
3.350000e+01	3.450000e+01	1.522496e-02	3.695921e-06	3.695921e-06
3.450000e+01	3.750000e+01	1.378924e-02	2.030739e-06	2.030739e-06
3.750000e+01	4.250000e+01	1.027007e-02	1.357520e-06	1.357520e-06
4.250000e+01	4.750000e+01	6.555920e-03	1.084617e-06	1.084617e-06
4.750000e+01	5.250000e+01	3.773024e-03	8.228191e-07	8.228191e-07
5.250000e+01	5.750000e+01	2.020826e-03	6.021767e-07	6.021767e-07
# END HISTO1D

